zipcode,population_2015,year_x,population_2020,year_y,population_change,population_change_pct
60601,11905.0,2015,14513.0,2020,2608.0,21.91
60602,1294.0,2015,1596.0,2020,302.0,23.34
60603,1076.0,2015,1186.0,2020,110.0,10.22
60604,545.0,2015,729.0,2020,184.0,33.76
60605,27238.0,2015,30950.0,2020,3712.0,13.63
60606,3098.0,2015,3204.0,2020,106.0,3.42
60607,27557.0,2015,30306.0,2020,2749.0,9.98
60608,79607.0,2015,80011.0,2020,404.0,0.51
60609,62010.0,2015,60551.0,2020,-1459.0,-2.35
60610,39598.0,2015,40954.0,2020,1356.0,3.42
60611,31165.0,2015,33937.0,2020,2772.0,8.89
60612,36531.0,2015,32240.0,2020,-4291.0,-11.75
60613,49389.0,2015,51399.0,2020,2010.0,4.07
60614,69423.0,2015,72391.0,2020,2968.0,4.28
60615,41210.0,2015,41198.0,2020,-12.0,-0.03
60616,52214.0,2015,52557.0,2020,343.0,0.66
60617,82213.0,2015,82101.0,2020,-112.0,-0.14
60618,97324.0,2015,94646.0,2020,-2678.0,-2.75
60619,63411.0,2015,61372.0,2020,-2039.0,-3.22
60620,69909.0,2015,68761.0,2020,-1148.0,-1.64
60621,31881.0,2015,26736.0,2020,-5145.0,-16.14
60622,55516.0,2015,52957.0,2020,-2559.0,-4.61
60623,88635.0,2015,77732.0,2020,-10903.0,-12.3
60624,38140.0,2015,35054.0,2020,-3086.0,-8.09
60625,78731.0,2015,78820.0,2020,89.0,0.11
60626,49118.0,2015,51017.0,2020,1899.0,3.87
60628,67914.0,2015,65008.0,2020,-2906.0,-4.28
60629,114982.0,2015,107930.0,2020,-7052.0,-6.13
60630,56653.0,2015,55692.0,2020,-961.0,-1.7
60631,28255.0,2015,28864.0,2020,609.0,2.16
60632,91310.0,2015,86715.0,2020,-4595.0,-5.03
60633,12754.0,2015,12720.0,2020,-34.0,-0.27
60634,74093.0,2015,75604.0,2020,1511.0,2.04
60636,37278.0,2015,30039.0,2020,-7239.0,-19.42
60637,50326.0,2015,46621.0,2020,-3705.0,-7.36
60638,57958.0,2015,57057.0,2020,-901.0,-1.55
60639,91379.0,2015,88515.0,2020,-2864.0,-3.13
60640,66050.0,2015,69726.0,2020,3676.0,5.57
60641,72588.0,2015,70163.0,2020,-2425.0,-3.34
60643,50992.0,2015,48572.0,2020,-2420.0,-4.75
60644,49080.0,2015,45919.0,2020,-3161.0,-6.44
60645,45873.0,2015,46924.0,2020,1051.0,2.29
60646,28203.0,2015,29043.0,2020,840.0,2.98
60647,88269.0,2015,85658.0,2020,-2611.0,-2.96
60649,45305.0,2015,47084.0,2020,1779.0,3.93
60651,61287.0,2015,63679.0,2020,2392.0,3.9
60652,42176.0,2015,42296.0,2020,120.0,0.28
60653,30683.0,2015,33574.0,2020,2891.0,9.42
60654,15934.0,2015,20812.0,2020,4878.0,30.61
60655,28479.0,2015,27771.0,2020,-708.0,-2.49
60656,28526.0,2015,28982.0,2020,456.0,1.6
60657,69147.0,2015,70489.0,2020,1342.0,1.94
60659,38276.0,2015,43843.0,2020,5567.0,14.54
60660,40719.0,2015,45131.0,2020,4412.0,10.84
60661,8875.0,2015,10734.0,2020,1859.0,20.95
60642,19989.0,2015,20191.0,2020,202.0,1.01
